faq_id,topic,question,answer,country
FAQ081,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,India
FAQ082,Products,How can I check product availability?,Product availability is shown on the product page.,USA
FAQ083,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,India
FAQ084,Shipping,What are the delivery options available?,We offer standard and express delivery options.,India
FAQ085,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,Australia
FAQ086,Products,What should I do if I receive a damaged product?,Report it within 48 hours with photos for quick resolution.,USA
FAQ087,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,Canada
FAQ088,Account,How do I update my account details?,Go to account settings and update your details.,Canada
FAQ089,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",USA
FAQ090,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,Canada
FAQ091,Account,How do I update my account details?,Go to account settings and update your details.,USA
FAQ092,Orders,How can I track my order?,You can track your order using the tracking link sent to your email.,Australia
FAQ093,Products,How can I check product availability?,Product availability is shown on the product page.,India
FAQ094,Returns,What is the return policy?,You can return products within 7 days if they are unused and in original condition.,Canada
FAQ095,Shipping,What are the delivery options available?,We offer standard and express delivery options.,Canada
FAQ096,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",Canada
FAQ097,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",India
FAQ098,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,India
FAQ099,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",UK
FAQ100,Orders,Can I place an order without creating an account?,"Yes, guest checkout is available.",USA
FAQ101,Returns,Can I exchange a product instead of returning it?,"Yes, exchange is available for selected products.",UK
FAQ102,Shipping,What are the delivery options available?,We offer standard and express delivery options.,Canada
FAQ103,Support,How do I contact customer support?,"You can contact us via email, chat, or customer care number.",UK
FAQ104,Account,How do I update my account details?,Go to account settings and update your details.,USA
FAQ105,Shipping,Do you offer cash on delivery?,"Yes, cash on delivery is available for selected locations.",India
FAQ106,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",USA
FAQ107,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,USA
FAQ108,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,Australia
FAQ109,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,USA
FAQ110,Returns,How will I receive my refund?,Refund will be processed to your original payment method.,India
FAQ111,Account,How can I reset my account password?,Click on 'Forgot Password' and follow the instructions.,Canada
FAQ112,Shipping,Are there any shipping charges?,Shipping is free on orders above a certain amount; otherwise charges may apply.,USA
FAQ113,Payments,What payment methods are accepted?,"We accept credit cards, debit cards, UPI, and net banking.",India
FAQ114,Account,How do I update my account details?,Go to account settings and update your details.,Canada
FAQ115,Shipping,How long does delivery take?,Delivery usually takes 3-7 business days.,UK
FAQ116,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",Canada
FAQ117,Orders,Can I change my delivery address after placing an order?,"Yes, you can change the address before the order is shipped.",India
FAQ118,Returns,How can I return a product?,You can initiate a return from your account within 7 days of delivery.,UK
FAQ119,Orders,Why was my order cancelled?,Orders may be cancelled due to payment failure or stock issues.,USA
